nom_produit;prix_vente_ht;prix_achat_ht;quantite_vendue_2024
"PEELING TCA 20% + retinoic acid 35% - PURPLE PEEL 4 (MCCM)";76.450000;40.740000;24
"Performances des cellules XR";20.250000;0.000000;0
"PHOSPHATIDYLCHOLINE 5% (10x5ml)";27.000000;0.000000;0
"Phosphatidylcholine 5% 100 x 2ml - MCCM";147.500000;89.940000;0
"Phosphatidylcholine 5% 100 x 5ml - MCCM";142.500000;119.940000;0
"Phosphatidylcholine 5% 20 x 5ml - MCCM";48.783333;38.400000;34
"Post Peeling Mask – MCCM";49.583333;30.120000;7
"POST-PEEL 300 ML - SIMILCARE FROM SIMILDIET";32.916666;23.220000;41
"POST-PEEL 50 ML - SIMILCARE FROM SIMILDIET";12.416667;8.690000;106
"PRE-PEEL LOTION DEGRAISSANTE 400 ML - SIMILDIET";19.000000;13.930000;30
"Red Peel 1 - MCCM";34.833333;27.540000;2
"Red Peel 3 - MCCM";47.900000;31.800000;4
"Red Peel 5 - MCCM";47.900000;37.200000;18
"REGENERATOR CRÈME";21.750000;0.000000;0
"Salicylic Removing 20x5 ml - MCCM";54.166667;32.939999;2
"SAMA PEEL - SIMILDIET, peeling anti acné";57.000000;26.530000;39
"Serum Xtra Face Anti Aging 50ml - Simildiet";40.000000;24.900000;9
"Serum Xtra Slimming 30ml - SIMILDIET";25.833333;14.940000;2
"SILICIUM ORGANIQUE 20x5ml - MCCM";23.983333;16.739999;17
"SILICON ORGANIQUE + DMAE 20x5ml - MCCM";27.800000;20.000000;13
"Skin repair Meso 10x5ml - MCCM";68.116667;41.940000;1
"T35P 5x10ml - MCCM";220.833333;139.300000;1
"Vitamine A 20x2ml - MCCM";27.083333;17.940000;4
"Vitamine C 20% 20x2ml -  MCCM";23.750000;15.000000;29
"Vitamine C 20% 20x5ml -  MCCM";32.033333;15.500000;28
"VITAMINES AEC 20 x 5ml - MCCM";45.616667;27.540000;5
"Whitening Meso Cocktail MCCM 10 x 5ml";85.250000;42.600000;11
"Whitening Pack (Melano out Pack )";196.666667;119.400000;0
"Whitening peel 100ml - MCCM";74.166667;44.400000;6
"WITHENING PEEL (Depigmentant) -100 ML";73.333333;44.400000;1
"XR Lips Performance - MCCM";29.166667;20.990000;5
"XR Magic Cellular - MCCM";69.900000;41.940000;2
"Xtra Cream Lightening - Simildiet";63.333333;39.540000;5
"Xtra Cream Skin Firming 250ml - Simildiet";63.333333;44.740000;3
"Xtra Cream Skin Firming 50ml - Simildiet";36.916667;24.900000;8
"Xtra Cream Skin Repair 250ml - Simildiet";122.991667;87.500000;2
"Xtra Cream Skin Repair 50ml - Simildiet";35.666667;27.230000;1
"Xtra Facelift 3x5ml - Simildiet";54.166667;41.650000;15
"XTRA Hair Restorer 5x5ml - SIMILDIET";67.083332;48.990000;2
"Xtra Lightening Cocktail Meso 5x5ml - SIMILDIET";73.333333;56.000000;19
"Xtra Lightening Plus 5x5ml - Simildiet";60.833333;56.000000;0
"Xtra Skin Firming 5x5ml - Simildiet";75.833333;55.930000;3
"Xtra Skin Lightening Serum 30 ML - Simildiet";34.916667;25.830000;13
"Xtra Skin Repair 5x5ml - Simildiet";68.833333;56.000000;17
"Xtra Skin Repair Serum - Simildiet";31.666667;19.380000;1
"Xtra Slimming 5x5ml - SIMILDIET";68.833333;55.930000;12
"YELLOW PEEL (3x5ml) - SIMILDIET";40.000000;27.230000;71
