nom_du_produit;id_categorie;id_produit;nom_de_la_categorie
"DIVES FERULIC PEEL";162;582;Dives
"DIVES HYDRA Toner 500ml";162;583;Dives
"DIVES HYDRA Micellar 300ml";162;584;Dives
"DIVES ACNEOUT PEEL";162;585;Dives
"DIVES Glycolic Peel 50%";162;586;Dives
"DIVES Glycolic Peel 35%";162;587;Dives
"DIVES REVITAL DEEP PEEL";162;588;Dives
"DIVES MANDELIC PEEL 40%";162;589;Dives
"Saypha Rich 1ml - Croma (Ex Princess Rich)";164;592;Croma
"Saypha Filler 1ml - Croma (Ex Princess Filler)";164;593;Croma
"Saypha Filler Lidocaine 1ml - Croma ( Ex Princess Filler Lido)";164;594;Croma
"Saypha Volume 1ml - Croma (Ex Princess Volume)";164;595;Croma
"Saypha Volume Lidocaine 1ml - Croma (Ex Princess Volume Lido)";164;596;Croma
"Saypha Volume Plus lidocaine 1ml - Croma (Ex Princess Volume Plus Lido)";164;597;Croma
"Fils tenseurs PDO Basic 25G 90 mm - Croma";164;598;Croma
"Fils tenseurs PDO Basic 27G 60 mm - Croma";164;599;Croma
"Fils tenseurs PDO Basic 29G 50 mm - Croma";164;600;Croma
"Fils tenseurs PDO Basic 29G 40 mm - Croma";164;601;Croma
"Fils tenseurs PDO Basic 31G 30 mm - Croma";164;602;Croma
"Fils tenseurs PDO Screw 26G 60 mm - Croma";164;603;Croma
"Fils tenseurs PDO Screw 27G 50 mm - Croma";164;604;Croma
"Fils tenseurs PDO Screw 29G 40 mm - Croma";164;605;Croma
"Fils tenseurs PDO Barb II 23G 90 mm - Croma";164;606;Croma
"Fils tenseurs PDO Barb II 23G 60 mm - Croma";164;607;Croma
"Fils tenseurs PDO Barb II 21G 90 mm - Croma";164;608;Croma
"Fils tenseurs PDO Barb II 21G 60 mm - Croma";164;609;Croma
"Fils tenseurs PDO Barb II 4D 20G 90 mm - Croma";164;610;Croma
"Fils tenseurs PDO Barb II 4D 20G 60 mm - Croma";164;611;Croma
"Fils tenseurs PDO Barb II Anchor 19G 100 mm - Croma";164;612;Croma
"Fils tenseurs PDO Barb II Anchor 18G 100 mm - Croma";164;613;Croma
"Fils tenseurs PDO Barb II Anchor 18G 70 mm - Croma";164;614;Croma
"Fils tenseurs PDO Barb II Peako 19G 60 mm - Croma";164;615;Croma
"Fils tenseurs PDO Barb II Peako 19G 50 mm - Croma";164;616;Croma
"Fils tenseurs PDO Barb II Peako 19G 40 mm - Croma";164;617;Croma
"Elure Nettoyage du visage Advance 100ml - Croma";164;618;Croma
"Elure Advanced Lotion Eclaircissante 45ml - Croma";164;619;Croma
"Elure Crème de nuit éclaircissante avancée 60ml - Croma";164;620;Croma
"Masque visage régénérant à l'acide hyaluronique - Croma";164;621;Croma
"Masque visage au thé vert - Croma";164;622;Croma
"Pure HA 4 x 1ml - Croma";164;623;Croma
"Nanosoft Microneedles Fillmed";109;625;ACCESSOIRES
"T35P 5x10ml - MCCM";2;626;Accueil
"Gel V-Tightening 30 ml – MCCM";2;627;Accueil
"Xtra Skin Repair 5x5ml - Simildiet";66;628;Simildiet
"Xtra Skin Firming 5x5ml - Simildiet";66;629;Simildiet
"Xtra Lightening Plus 5x5ml - Simildiet";66;630;Simildiet
"Xtra Facelift 3x5ml - Simildiet";66;631;Simildiet
"Xtra Cream Skin Repair 50ml - Simildiet";66;632;Simildiet
"Xtra Cream Skin Firming 50ml - Simildiet";66;633;Simildiet
"Xtra Cream Lightening - Simildiet";66;634;Simildiet
"Xtra Cream Skin Repair 250ml - Simildiet";66;635;Simildiet
"Xtra Skin Repair Serum - Simildiet";66;636;Simildiet
"Xtra Skin Lightening Serum - Simildiet";66;637;Simildiet
"Idebenone 5x5ml - Simildiet";66;638;Simildiet
"Meso Cafeine 2,5 % - Simildiet";66;639;Simildiet
"Organic Silicon 1 % (20X2ml) - Simildiet";66;640;Simildiet
"Post Peeling Mask – MCCM";2;641;Accueil
"BTX Gold Cream - MCCM";2;642;Accueil
"Limpiador 2&1 200ml - MCCM";2;643;Accueil
"Facial Tonic 500ml - MCCM";2;644;Accueil
"Red Peel 3 - MCCM";88;647;Peeling
"Red Peel 1 - MCCM";88;648;Peeling
"Farewell peau viellissante 30ml - Croma";164;650;Croma
"Farewell peau sèche 30ml - Croma";164;651;Croma
"Farewell peau irritée 30ml - Croma";164;652;Croma
"Farewell Puffy Eyes anti cernes 30ml - Croma";164;653;Croma
"Farewell Oily Skin pour peaux grasses 30ml - Croma";164;654;Croma
"Universkin Nexultra O 100ml - Croma";164;655;Croma
"Universkin Nexultra L 75ml - Croma";164;656;Croma
"Masque yeux énergisant CROMA Extrait kiwi, concombre & HA";164;657;Croma
"Masques régénérant pour lèvres  - Croma";164;658;Croma
"Masques atténuant les rides du sourire  - Croma";164;659;Croma
"DIVES LIPS Lidocaine 2X1ml";162;660;Dives
"DIVES Filler Ultra Universal Lidocaine 1 ml";162;661;Dives
"DIVES Fine Line Lidocaine 1ml";162;662;Dives
"DIVES Volume Lidocaine 2x1ml";162;663;Dives
"Xtra Cream Skin Firming 250ml - Simildiet";66;665;Simildiet
"DECORIA Intense";2;667;Accueil
"DECORIA Voluma";2;668;Accueil
"Crème Radiant - MCCM";68;669;MCCM
"AQUA LISS’ HA - Masque Hydratant Repulpant 8ml | Vivacy";13;670;Vivacy
"AQUA LISS’ HA - Masque Hydratant Repulpant 5x8ml | Vivacy";13;671;Vivacy
"URBAN RESIST’ - Bouclier Urbain Multi-Défenses 50ml | Vivacy";13;672;Vivacy
"LIP PROTECT - Baume Lèvres Nourissant 8ml | Vivacy";13;673;Vivacy
"EYE ULTIM’ LIFT - Soin Regard Liftant | Vivacy";13;674;Vivacy
"MIST - Eau de Soin Rafraîchissante | Vivacy";13;675;Vivacy
"HYALU CALM - Crème Réparatrice Apaisante 15ml | Vivacy";13;676;Vivacy
"CELL SHOT - Sérum Régénérant Cellulaire | Vivacy";13;677;Vivacy
"fond de teint à l'acide hyaluronique MISSCOP";2;678;Accueil
"HYDRA TOUCH - Crème Hydratante Intense | Vivacy";13;679;Vivacy
"AGE REBOOST - Crème Restructurante Anti-Âge | Vivacy";13;680;Vivacy
"DESIRIAL - Eau de toilette pour homme 100ml| Vivacy";13;681;Vivacy
"Monsieur Skin Care - Gel Apaisant Instantané 50ml | Vivacy";13;682;Vivacy
"Monsieur Skin Care - Soin Anti-Âge Global 50 ml | Vivacy";13;683;Vivacy
"Monsieur Skin Care - Sérum Anti-Rides Lissant | Vivacy";13;684;Vivacy
"DESIRIAL - Eau de toilette pour femme 100ml | Vivacy";13;685;Vivacy
"CytoCare 532 (5x5ml)";86;686;"Dermal Filler"
"PDRN 5x1500 U.I. - MCCM";2;687;Accueil
"PDRN + HYALURONIC ACID 1% 5x5ml - MCCM";2;688;Accueil
"PDRN + HYALURONIC ACID 2% 5x5ml - MCCM";2;689;Accueil
"Collagenase 5x1500 U.I. - MCCM";2;690;Accueil
"Hyaluronic Peptide Repair 30ml - MCCM";2;691;Accueil
"Circle Contour - MCCM";2;693;Accueil
"XR Lips Performance - MCCM";2;694;Accueil
"XR Magic Cellular - MCCM";2;695;Accueil
"RESTYLANE Eyelight 0,5ml - GALDERMA";86;696;"Dermal Filler"
"Vivacy test";2;697;Accueil
"DIVES LipoShoock+ 10ml";162;698;Dives
"Juvenus Strong - Croma";2;699;Accueil
"Hyamira Body";64;701;Hyamira
"Sérum Out Anti-Âge";184;702;holite
"Sérum Out Peau Nette";184;703;holite
"K-LINFO 60ml - Simildiet";66;704;Simildiet
"Salicylic Removing 20x5 ml - MCCM";68;705;MCCM
"CELLBOOSTER SHAPE - Suiselle";186;706;Suiselle
