nom_produit;quantite_totale_vendue;prix_vente_total;prix_achat_total;marge_totale;pourcentage_marge
"ME LINE 01 Moist 250ml - INNOAESTHETICS";1;100.000000;64.000000;36.000000;36.0000000000
"HYDROLIFT+MESO 5x5ml - L'ESTHETIC Paris";1;82.500000;45.000000;37.500000;45.4545454545
"Meso Hair Max 5x10ml - INFINI";1;88.333333;62.300000;26.033333;29.4716978471
"DNA Super Booster 1x10ml - INFINI";1;64.166667;45.430000;18.736667;29.2000003678
"LIGHTENING PEEL - SIMILDIET";1;86.941667;62.930000;24.011667;27.6181350422
"SILICIUM ORGANIQUE 20x5ml - MCCM";1;23.983333;16.739999;7.243334;30.2015320389
"Teosyal RHA 1 (2x1ml) Lido";1;138.830000;128.000000;10.830000;7.8009075848
"CELLBOOSTER GLOW - Suiselle";1;145.833333;115.500000;30.333333;20.7999998190
"Hyamira Body";1;107.500000;81.900000;25.600000;23.8139534884
"Hyaluronic Acid 3.5% 5x5ml - MCCM";1;123.333333;95.400000;27.933333;22.6486484396
"Avène Cicalfate+ Crème réparatrice protectrice peaux sensibles et irritées 100ml";1;13.990667;9.501000;4.489667;32.0904428645
"DESIRIAL (stylage) (1x1ml)";1;66.666667;55.550000;11.116667;16.6750004166
